site_location,availability,BHK,society,bath,balcony,total_sqft,area_type,price
Pune Railway Station,Ready To Move,2,Sancya ,2,2,1260,Super built-up  Area,49.5
Rasta Peth,Ready To Move,3,,3,1,1200,Plot  Area,74
Raviwar Peth,Ready To Move,2,Tavenew,2,1,965,Built-up  Area,42.5
Sadashiv Peth,Ready To Move,3,Adion M,2,3,1350,Built-up  Area,48
Sahakar Nagar,18-Jul,2,Rosha I,2,1,1447,Super built-up  Area,75.97
Salunke Vihar,Ready To Move,3,,3,1,1229,Super built-up  Area,86.03
Sasson Road,Ready To Move,2,,2,2,1027,Super built-up  Area,43
Satara Road,Ready To Move,2,M denGa,2,1,1153,Super built-up  Area,48.5
Senapati Bapat Road,18-Dec,4,Prtates,5,0,2830 - 2882,Super built-up  Area,145.5
Shaniwar Peth,Ready To Move,2,A idse ,2,2,1065,Super built-up  Area,50
Shivaji Nagar,Ready To Move,2,Ska ev,2,3,1030,Built-up  Area,61
Shukrawar Peth,Ready To Move,2,,2,2,1340,Super built-up  Area,61
Sinhagad Road,Ready To Move,4,PueraRi,5,,4000,Super built-up  Area,212
Somwar Peth,Ready To Move,1,,1,0,600,Built-up  Area,32
Swargate,Ready To Move,3,Dhalsh ,2,3,1410,Super built-up  Area,44.42
Tilak Road,20-Dec,2,Myple M,2,2,1055,Super built-up  Area,45.35
Uruli Devachi,18-May,2,Prensya,2,1,1304,Super built-up  Area,79
Vadgaon Budruk,18-Feb,4,,4,1,2720,Super built-up  Area,485
Wadgaon Sheri,Ready To Move,2,Puitea ,2,1,990,Built-up  Area,31.5
Viman Nagar,Ready To Move,2,,2,1,1035,Super built-up  Area,39.33
Vishrant Wadi,21-Jun,1,Coowsri,1,0,596 - 804,Super built-up  Area,30.09
Wagholi,Ready To Move,2,,2,2,1120,Super built-up  Area,43
Wakadewadi,Ready To Move,2,NDionas,2,2,1300,Super built-up  Area,73
Wanowrie,21-Jan,2,Sapus S,2,1,1239,Super built-up  Area,82
Warje,19-Dec,3,Daivon ,3,3,1403,Super built-up  Area,51.63
Yerawada,Ready To Move,2,Sosisic,2,1,1365,Super built-up  Area,92
Alandi Road,Ready To Move,2,Sid 2ss,2,1,1165,Super built-up  Area,135
Ambegaon Budruk,Ready To Move,3,,2,3,1130,Super built-up  Area,45.19
Anandnagar,Ready To Move,3,Solia D,3,2,1776.42,Super built-up  Area,105
Aundh,Ready To Move,4,,4,3,900,Plot  Area,175
Aundh Road,Ready To Move,2,,2,2,1194,Super built-up  Area,47
Balaji Nagar,Ready To Move,2,Etuney ,2,2,1107,Super built-up  Area,33
Baner,Ready To Move,3,,3,2,2319,Super built-up  Area,180
Baner road,Ready To Move,3,DNtonri,3,3,1520,Super built-up  Area,80
Bhanda ar Road,19-Jul,3,Sonue A,3,1,1536,Super built-up  Area,89
Bhavani Peth,Ready To Move,4,,4,2,3000,Built-up  Area,240
Bibvewadi,Ready To Move,2,Viiniai,2,1,1050,Super built-up  Area,38
Bopodi,22-Jun,3,GoAirej,3,2,1850,Super built-up  Area,146
Budhwar Peth,Ready To Move,2,Diisein,2,2,1112,Super built-up  Area,62
Bund Garden Road,Ready To Move,3,,3,2,1535,Super built-up  Area,72.5
Camp,Ready To Move,2,,2,1,1050,Built-up  Area,35
Chandan Nagar,Ready To Move,4,,3,2,2400,Plot  Area,370
Dapodi,Ready To Move,3,JDensar,3,2,1250,Super built-up  Area,65
Deccan Gymkhana,Ready To Move,2,CSvelMa,2,3,1187,Super built-up  Area,52
Dehu Road,Ready To Move,2,,2,1,1164,Built-up  Area,56
Dhankawadi,18-May,3,SNbay G,2,1,1395,Super built-up  Area,62.78
Dhayari Phata,18-Jul,3,RRnumn ,3,2,2072,Super built-up  Area,108
Dhole Patil Road,Ready To Move,3,JRrnauv,3,3,1450,Super built-up  Area,60.91
Erandwane,Ready To Move,3,SNity S,3,2,1550,Super built-up  Area,82
Fatima Nagar,Ready To Move,2,,2,2,1315,Super built-up  Area,90
Fergusson College Road,19-Dec,4,SNontle,4,3,3067,Super built-up  Area,230
Ganesh Peth,Ready To Move,2,Saeur G,2,2,1210,Super built-up  Area,72
Ganeshkhind,Ready To Move,3,Prityel,2,1,1075,Super built-up  Area,47
Ghorpade Peth,Ready To Move,6,Prowshi,9,1,11338,Super built-up  Area,1000
Ghorpadi,18-May,3,,3,1,1215,Super built-up  Area,42.2
Gokhale Nagar,Ready To Move,3,Prmesad,2,2,1470,Built-up  Area,75
Gultekdi,18-Jul,4,,4,,30000,Plot  Area,2100
Guruwar peth,Ready To Move,3,Saageat,2,2,1590,Built-up  Area,125
Hadapsar,Ready To Move,2,Shdhia ,2,1,1050,Super built-up  Area,36.75
Hadapsar Industrial Estate,Ready To Move,2,GrrvaGr,2,1,1306,Super built-up  Area,55.91
Hingne Khurd,Ready To Move,3,Maens G,3,2,2000,Built-up  Area,250
Jangali Maharaj Road,Ready To Move,3,,3,2,1445,Built-up  Area,64
Kalyani Nagar,Ready To Move,3,,3,2,1220,Super built-up  Area,58
Karve Nagar,Ready To Move,4,Puodsm ,3,1,3190,Plot  Area,160
Karve Road,18-May,2,ViistLa,2,1,1215,Super built-up  Area,51.26
Kasba Peth,Ready To Move,3,PrityTr,2,1,1920,Built-up  Area,88
Katraj,Ready To Move,2,,2,2,1390,Super built-up  Area,60
Khadaki,Ready To Move,3,,2,1,800,Plot  Area,75
Khadki,Ready To Move,3,,3,2,600,Plot  Area,100
Kharadi,21-Jul,2,GoAirej,2,0,1196,Super built-up  Area,71.74
Kondhwa,Ready To Move,3,Siaraa ,2,2,1550,Super built-up  Area,75
Kondhwa Budruk,Ready To Move,2,Prtanha,2,2,1418,Super built-up  Area,101
Kondhwa Khurd,19-Mar,3,,3,2,1655,Super built-up  Area,115
Koregaon Pa ,Ready To Move,2,SancyRe,2,2,1115,Built-up  Area,33.45
Kothrud,Ready To Move,2,NCiteEl,2,2,1170,Super built-up  Area,68
Law College Road,Ready To Move,2,Sraveks,2,2,1035,Super built-up  Area,38.3
Laxmi Road,Ready To Move,3,,2,2,1306,Super built-up  Area,58
Lulla Nagar,18-Dec,2,VBn 2lm,2,2,750,Super built-up  Area,22
Mahatma Gandhi Road,Ready To Move,3,Bhmesy ,3,3,1917,Super built-up  Area,122
Mangalwar peth,Ready To Move,3,Frowsru,3,3,1615,Super built-up  Area,58
Manik Bagh,Ready To Move,2,,2,2,1071,Super built-up  Area,52.25
Ma et yard,Ready To Move,2,Suryais,2,2,1325,Super built-up  Area,119
Model colony,Ready To Move,7,,4,2,3000,Plot  Area,900
Mukund Nagar,Ready To Move,3,,2,1,1400,Super built-up  Area,88
Mundhawa,21-Jan,2,Sapus S,2,1,1246,Super built-up  Area,82
Nagar Road,Ready To Move,2,Coa It ,2,0,1215,Built-up  Area,40
Nana Peth,Ready To Move,2,Akave E,2,2,1200,Super built-up  Area,49.5
Narayan Peth,Ready To Move,4,,3,1,450,Plot  Area,53
Narayangaon,Ready To Move,2,Shyas S,2,2,1200,Super built-up  Area,60
Navi Peth,Ready To Move,2,,2,2,945,Built-up  Area,50
Padmavati,Ready To Move,4,,5,,4460,Super built-up  Area,650
Parvati Darshan,Ready To Move,2,Nadhian,2,1,1175,Super built-up  Area,52
Pashan,Ready To Move,2,SrireSo,2,1,920,Super built-up  Area,63
Paud Road,Ready To Move,4,Taonte ,5,1,3024,Super built-up  Area,350
Pirangut,Ready To Move,2,,2,2,1600,Plot  Area,110
Prabhat Road,Ready To Move,4,,2,0,750,Plot  Area,110
Pune Railway Station,Ready To Move,4,,4,,2400,Plot  Area,700
Rasta Peth,Ready To Move,2,Prineth,1,2,955,Built-up  Area,34.01
Raviwar Peth,Ready To Move,3,SoystAm,3,3,1750,Super built-up  Area,100
Sadashiv Peth,Ready To Move,3,Suitea ,2,2,1425,Super built-up  Area,64
Sahakar Nagar,Ready To Move,3,Brsic C,3,2,2150,Super built-up  Area,265
Salunke Vihar,20-Dec,2,,2,1,1165,Super built-up  Area,40.5
Sasson Road,Ready To Move,2,Maidei ,2,2,1050,Super built-up  Area,48
Satara Road,Ready To Move,3,ShourSp,2,2,1370,Super built-up  Area,75
Senapati Bapat Road,18-Apr,3,Pra un,2,1,1374,Super built-up  Area,72
Shaniwar Peth,Ready To Move,3,SosicCl,3,2,1754,Super built-up  Area,124
Shivaji Nagar,Ready To Move,3,Somumys,3,2,1847,Super built-up  Area,110
Shukrawar Peth,Ready To Move,3,SoechHa,4,3,1850,Super built-up  Area,139
Sinhagad Road,18-May,3,Theanmp,3,1,3297,Plot  Area,135
Somwar Peth,Ready To Move,2,BMtusLo,2,2,1187,Super built-up  Area,45
Swargate,18-Dec,3,,2,1,1400,Built-up  Area,40.44
Tilak Road,Ready To Move,3,,2,0,600,Plot  Area,30
Uruli Devachi,Ready To Move,2,,2,3,1350,Super built-up  Area,180
Vadgaon Budruk,Ready To Move,3,Raourpl,2,2,3000,Plot  Area,120
Wadgaon Sheri,21-Dec,1,Bhe 2ko,1,1,693,Super built-up  Area,34.3
Viman Nagar,21-May,3,Soeurri,3,2,1980,Super built-up  Area,224
Vishrant Wadi,Ready To Move,2,Saavem ,2,1,1021,Super built-up  Area,48
Wagholi,Ready To Move,2,Prtanha,2,2,1165,Super built-up  Area,95
Wakadewadi,19-Mar,3,Prhar G,3,2,1756,Super built-up  Area,92
Wanowrie,Ready To Move,3,FoapeWa,3,1,1739,Super built-up  Area,105
Warje,Ready To Move,2,Caiseur,2,,1280,Super built-up  Area,65
Yerawada,Ready To Move,2,,2,2,1215,Super built-up  Area,58.86
Alandi Road,18-Apr,2,Sadhii ,2,1,950,Super built-up  Area,46.5
Ambegaon Budruk,Ready To Move,3,,2,1,1082,Built-up  Area,49
Anandnagar,Ready To Move,2,,2,1,1050,Super built-up  Area,42
Aundh,Ready To Move,2,Cerdsga,2,0,1080,Super built-up  Area,53.35
Aundh Road,Ready To Move,2,Maierr ,2,2,1100,Super built-up  Area,55
Balaji Nagar,Ready To Move,4,Aling10,4,1,3200,Plot  Area,205
Baner,Ready To Move,2,PraleSi,2,1,1311,Super built-up  Area,78
Baner road,Ready To Move,3,GrrvaGr,3,1,1608,Super built-up  Area,67.98
Bhanda ar Road,Ready To Move,2,,2,2,1160,Super built-up  Area,36
Bhavani Peth,Ready To Move,2,Veitaus,2,1,1170,Super built-up  Area,71
Bibvewadi,Ready To Move,2,,2,2,1155,Super built-up  Area,40.6
Bopodi,18-Dec,3,Magiaya,2,1,1255,Super built-up  Area,77.68
Budhwar Peth,Ready To Move,2,,2,2,1065,Super built-up  Area,44.95
Bund Garden Road,Ready To Move,1,Guenoa ,1,1,674,Super built-up  Area,21
Camp,Ready To Move,3,,4,2,1936,Super built-up  Area,126
Chandan Nagar,18-Dec,3,,3,2,2289,Super built-up  Area,260
Dapodi,Ready To Move,2,,2,1,1100,Super built-up  Area,38.45
Deccan Gymkhana,Ready To Move,3,DNeremo,4,2,2257,Super built-up  Area,157
Dehu Road,Ready To Move,2,,2,2,1055,Super built-up  Area,55
Dhankawadi,Ready To Move,3,GrrvaGr,3,3,1530,Super built-up  Area,51.87
Dhayari Phata,Ready To Move,3,,3,1,1700,Super built-up  Area,97
Dhole Patil Road,Ready To Move,3,Tentsw ,2,2,1575,Super built-up  Area,78
Erandwane,Ready To Move,3,Nano r,4,2,3500,Built-up  Area,330
Fatima Nagar,Ready To Move,2,Ahntyve,2,1,1263,Super built-up  Area,93.32
Fergusson College Road,Ready To Move,3,MCvarar,3,0,1255 - 1863,Super built-up  Area,69.315
Ganesh Peth,Ready To Move,2,MB-laan,2,2,1043,Super built-up  Area,65
Ganeshkhind,Ready To Move,2,Shateor,2,2,1255,Super built-up  Area,53.5
Ghorpade Peth,18-Mar,2,Shestut,2,0,1300 - 1405,Super built-up  Area,93.865
Ghorpadi,18-Dec,1,Siageal,1,0,590,Super built-up  Area,13.57
Gokhale Nagar,Ready To Move,3,Edreelm,3,1,1550,Plot  Area,120
Gultekdi,Ready To Move,3,,3,3,1220,Super built-up  Area,56
Guruwar peth,Ready To Move,3,Jants V,3,3,1900,Super built-up  Area,160
Hadapsar,Ready To Move,3,,3,3,1360,Super built-up  Area,55
Hadapsar Industrial Estate,Ready To Move,2,,2,1,1100,Built-up  Area,75
Hingne Khurd,20-Mar,3,Vaarech,3,2,1455,Super built-up  Area,73.31
Jangali Maharaj Road,Ready To Move,2,Hivesdr,2,1,1035,Built-up  Area,40.5
Kalyani Nagar,Ready To Move,2,,2,2,1152,Super built-up  Area,69
Karve Nagar,Ready To Move,2,OriewLa,2,2,1299,Super built-up  Area,82
Karve Road,18-Nov,3,AsastDe,2,1,1157,Super built-up  Area,75
Kasba Peth,Ready To Move,2,Sovar S,2,2,1050,Super built-up  Area,52.5
Katraj,Ready To Move,2,,2,2,1050,Super built-up  Area,40
Khadaki,Ready To Move,2,,2,1,1246,Super built-up  Area,67.4
Khadki,Ready To Move,3,,3,2,1929,Built-up  Area,115
Kharadi,Ready To Move,2,,2,1,1285,Super built-up  Area,60
Kondhwa,Ready To Move,3,,2,0,1200,Plot  Area,65
Kondhwa Budruk,Ready To Move,4,,4,3,3161,Built-up  Area,214
Kondhwa Khurd,Ready To Move,3,SNe 2ev,3,,1850,Built-up  Area,170
Koregaon Pa ,Ready To Move,3,Suiseit,2,0,1025,Built-up  Area,37
Kothrud,Ready To Move,2,SaeneSe,3,2,1124,Built-up  Area,80
Law College Road,19-Dec,2,Soresea,2,1,1012,Super built-up  Area,54.59
Laxmi Road,Ready To Move,7,Bancyri,5,3,4500,Super built-up  Area,250
Lulla Nagar,Ready To Move,2,i1rtsCo,2,2,871,Super built-up  Area,55
Mahatma Gandhi Road,Ready To Move,2,Mae 2ow,2,2,1020,Built-up  Area,40
Mangalwar peth,Ready To Move,3,Sovar S,3,3,1550,Super built-up  Area,73.5
Manik Bagh,Ready To Move,3,,3,1,3515,Plot  Area,420
Ma et yard,Ready To Move,3,DLhtsnd,2,2,1410,Super built-up  Area,80
Model colony,18-Dec,4,Theanmp,5,3,3500,Plot  Area,150
Mukund Nagar,18-Apr,2,Prtates,2,1,1118,Super built-up  Area,75
Mundhawa,Ready To Move,2,Bhmesy ,2,1,1098,Super built-up  Area,68
Nagar Road,Ready To Move,2,,2,1,1130,Super built-up  Area,45.2
Nana Peth,Ready To Move,2,Trurea ,2,2,1145,Super built-up  Area,75
Narayan Peth,Ready To Move,3,,3,1,950,Plot  Area,80
Narayangaon,Ready To Move,2,GSnts A,2,1,1051,Super built-up  Area,33
Navi Peth,Ready To Move,7,,7,,600,Plot  Area,108
Padmavati,18-Apr,2,,2,2,1102,Super built-up  Area,53.67
Parvati Darshan,Ready To Move,2,Tahtsla,2,2,1478,Super built-up  Area,125
Pashan,18-Aug,1,SunceEs,1,1,645,Super built-up  Area,16.45
Paud Road,18-Dec,2,Arcia S,2,1,823,Carpet  Area,50.63
Pirangut,21-Dec,2,,2,1,880,Super built-up  Area,35
Prabhat Road,Ready To Move,4,,5,2,600,Built-up  Area,75
Pune Railway Station,Ready To Move,3,PrityTr,4,2,1991,Super built-up  Area,100
Rasta Peth,Ready To Move,3,,3,1,1100,Built-up  Area,50
Raviwar Peth,Ready To Move,3,MauilTr,3,2,1745,Super built-up  Area,115
Sadashiv Peth,17-Sep,2,,3,1,1226,Built-up  Area,135
Sahakar Nagar,Ready To Move,3,,4,1,680,Plot  Area,68
Salunke Vihar,Ready To Move,2,,2,1,1100,Super built-up  Area,70
Sasson Road,Ready To Move,4,,4,3,1200,Plot  Area,195
Satara Road,Ready To Move,2,Sorta S,2,1,1450,Super built-up  Area,58
Senapati Bapat Road,Ready To Move,4,,4,,3366,Super built-up  Area,120
Shaniwar Peth,Ready To Move,2,,2,1,1150,Built-up  Area,54
Shivaji Nagar,Ready To Move,3,Puestol,3,2,1843,Super built-up  Area,95.84
Shukrawar Peth,Ready To Move,4,,4,2,2200,Plot  Area,195
Sinhagad Road,Ready To Move,2,,3,2,1090,Built-up  Area,44
Somwar Peth,Ready To Move,2,Binorn ,2,2,1132,Super built-up  Area,42
Swargate,Ready To Move,2,RatosAr,2,2,1375,Super built-up  Area,80
Tilak Road,Ready To Move,4,,5,3,1500,Plot  Area,220
Uruli Devachi,Ready To Move,1,Bhmesy ,1,2,760,Super built-up  Area,50.3
Vadgaon Budruk,Ready To Move,2,,2,2,1180,Super built-up  Area,65
Wadgaon Sheri,Ready To Move,2,DLhtsan,2,2,918,Super built-up  Area,45
Viman Nagar,Ready To Move,5,,5,,600,Plot  Area,50
Vishrant Wadi,Ready To Move,2,,1,0,1200,Built-up  Area,53
Wagholi,Ready To Move,2,SrisePo,2,1,1372,Super built-up  Area,61
Wakadewadi,Ready To Move,7,,7,3,2400,Plot  Area,355
Wanowrie,Ready To Move,3,SoystAm,3,2,1728,Super built-up  Area,95
Warje,Ready To Move,3,Sariaat,3,1,2215,Super built-up  Area,275
Yerawada,Ready To Move,2,Crentt ,2,2,1200,Super built-up  Area,80
Alandi Road,Ready To Move,2,Vador S,2,,1280,Super built-up  Area,56
Ambegaon Budruk,Ready To Move,4,,4,,800,Plot  Area,110
Anandnagar,Ready To Move,3,ViisePa,2,2,1455,Super built-up  Area,56
Aundh,20-Aug,1,AsNowre,1,0,440,Super built-up  Area,28
Aundh Road,Ready To Move,3,Nathira,3,2,1500,Plot  Area,97
Balaji Nagar,Ready To Move,3,Brony H,3,,1800,Super built-up  Area,110
Baner,Ready To Move,3,,3,2,1525,Super built-up  Area,96
Baner road,Ready To Move,2,,2,3,1204,Super built-up  Area,38.5
Bhanda ar Road,19-Dec,2,SheldGr,2,1,1225,Super built-up  Area,53.55
Bhavani Peth,Ready To Move,6,,6,3,800,Built-up  Area,98
Bibvewadi,Ready To Move,3,Esave E,3,,1650,Super built-up  Area,122
Bopodi,Ready To Move,3,Itelaa ,2,1,880,Built-up  Area,18
Budhwar Peth,Ready To Move,4,,4,2,4200,Built-up  Area,255
Bund Garden Road,Ready To Move,2,,2,0,1200,Plot  Area,55
Camp,Ready To Move,4,,4,1,1152,Plot  Area,230
Chandan Nagar,Ready To Move,2,NaensGa,2,1,1005,Super built-up  Area,42
Dapodi,20-Dec,3,Oreldhi,3,2,1562,Super built-up  Area,103
Deccan Gymkhana,Ready To Move,4,Soyleif,5,2,5000,Built-up  Area,395
Dehu Road,Ready To Move,6,,5,2,810,Plot  Area,95
Dhankawadi,Ready To Move,2,,2,3,1200,Super built-up  Area,42
Dhayari Phata,Ready To Move,3,,3,2,1555,Super built-up  Area,82.5
Dhole Patil Road,Ready To Move,2,,2,1,1550,Plot  Area,71
Erandwane,Ready To Move,2,BainePr,2,2,1190,Super built-up  Area,67
Fatima Nagar,Ready To Move,2,KsonsCa,2,2,1070,Built-up  Area,50
Fergusson College Road,Immediate Possession,,AsdiaAr,,,1200 - 2400,Plot  Area,28.785
Ganesh Peth,Ready To Move,2,ShshaSa,2,1,1020,Super built-up  Area,42.48
Ganeshkhind,Ready To Move,3,,3,1,1610,Super built-up  Area,115
Ghorpade Peth,Ready To Move,1,,1,1,700,Super built-up  Area,41
Ghorpadi,Ready To Move,3,Rainet ,2,1,1300,Super built-up  Area,49
Gokhale Nagar,Ready To Move,2,Mahosya,2,1,1420,Super built-up  Area,123
Guruwar peth,18-Dec,3,Arcia S,3,2,1069,Carpet  Area,65.4
Hadapsar,Ready To Move,3,PueraRi,3,3,1900,Super built-up  Area,123
Hadapsar Industrial Estate,18-May,2,Jaades ,2,1,1655,Super built-up  Area,97.65
Hingne Khurd,Ready To Move,2,SLnssPr,2,2,1155,Super built-up  Area,40.42
Jangali Maharaj Road,Ready To Move,3,Esatea ,2,2,1300,Built-up  Area,70
Kalyani Nagar,Ready To Move,2,Amhidte,2,2,1100,Super built-up  Area,45
Karve Nagar,Ready To Move,2,Arensh ,2,2,1030,Super built-up  Area,42
Karve Road,Ready To Move,2,Prlla C,2,1,2105,Super built-up  Area,70.2
Kasba Peth,Ready To Move,3,Prsun S,3,2,1700,Built-up  Area,126
Katraj,Ready To Move,3,BrdgeNo,3,2,1760,Super built-up  Area,139
Khadki,Ready To Move,2,,2,1,1400,Built-up  Area,67
Kharadi,Ready To Move,2,,2,0,1200,Super built-up  Area,53
Kondhwa,Ready To Move,2,Haaceal,2,1,912,Built-up  Area,55
Kondhwa Budruk,Ready To Move,2,,2,1,1102,Super built-up  Area,48
Kondhwa Khurd,Ready To Move,3,Aconyit,3,1,1535,Super built-up  Area,55
Koregaon Pa ,Ready To Move,2,RInceeg,2,2,1243,Super built-up  Area,46
Kothrud,Ready To Move,2,DLhtsan,2,2,918,Super built-up  Area,63.2
Law College Road,Ready To Move,3,MJilayl,2,3,1500,Super built-up  Area,70
Laxmi Road,Ready To Move,3,,3,0,3000,Plot  Area,250
Lulla Nagar,Ready To Move,3,HMwerCo,3,0,1476,Super built-up  Area,89
Mahatma Gandhi Road,18-Apr,2,,2,3,1200,Super built-up  Area,65
Mangalwar peth,21-Jun,1,Saityat,1,0,606,Super built-up  Area,34.78
Manik Bagh,Ready To Move,2,,2,3,1100,Super built-up  Area,61
Ma et yard,Ready To Move,3,,2,1,1295,Super built-up  Area,59.5
Model colony,Ready To Move,1,AdingSV,1,0,527,Built-up  Area,26
Mukund Nagar,Ready To Move,2,Drerspe,2,2,1300,Super built-up  Area,80
Mundhawa,Ready To Move,3,,4,1,680,Plot  Area,68
Nagar Road,Ready To Move,1,,1,0,1260,Plot  Area,41
Nana Peth,Ready To Move,2,Vaanda ,2,1,1140,Built-up  Area,75.2
Narayan Peth,Ready To Move,1,,1,0,1500,Plot  Area,37.5
Narayangaon,18-Dec,3,Prtates,4,1,2321,Super built-up  Area,128
Navi Peth,Ready To Move,2,,2,2,1390,Super built-up  Area,62
Padmavati,Ready To Move,3,Asncywo,3,3,1725,Super built-up  Area,90
Parvati Darshan,18-May,4,SNontle,4,1,3067,Super built-up  Area,310
Pashan,18-Mar,3,Koagati,2,1,1186,Super built-up  Area,63
Paud Road,18-Dec,2,PrityFa,2,1,1230,Super built-up  Area,85
Pirangut,Ready To Move,1,,1,1,600,Built-up  Area,17
Prabhat Road,18-Dec,3,,3,1,1313,Super built-up  Area,96
Pune Railway Station,Ready To Move,2,,2,0,900,Plot  Area,55
Rasta Peth,Ready To Move,2,,2,2,1250,Super built-up  Area,66.25
Sadashiv Peth,19-Dec,1,She 2 ,1,1,660,Super built-up  Area,54
Sahakar Nagar,Ready To Move,2,Tinori ,2,2,1036,Super built-up  Area,105
Salunke Vihar,Ready To Move,4,,4,3,2700,Built-up  Area,450
Sasson Road,Ready To Move,2,Teilsaf,2,1,1100,Super built-up  Area,70
Satara Road,Immediate Possession,,Ajleyor,,,1500 - 2400,Plot  Area,46.8
Senapati Bapat Road,Ready To Move,4,,2,1,1500,Plot  Area,450
Shaniwar Peth,Ready To Move,4,,5,2,525,Plot  Area,56
Shivaji Nagar,Ready To Move,2,GaicaVe,2,1,1015,Built-up  Area,56
Shukrawar Peth,Ready To Move,1,,1,0,812,Plot  Area,26
Sinhagad Road,Ready To Move,3,,2,2,1360,Built-up  Area,65
Somwar Peth,Ready To Move,3,Ceste C,3,3,2167,Super built-up  Area,170
Swargate,Ready To Move,2,,2,1,1200,Super built-up  Area,35
Tilak Road,Ready To Move,2,MJarlPe,2,2,1165,Super built-up  Area,75
Uruli Devachi,Ready To Move,2,NDclenn,2,2,1274,Super built-up  Area,70
Vadgaon Budruk,Ready To Move,2,GrrvaGr,2,2,1151,Super built-up  Area,39.02
Wadgaon Sheri,Ready To Move,6,,6,3,1060,Plot  Area,110
Viman Nagar,Ready To Move,3,ShdhiSa,2,2,1626,Super built-up  Area,120
Vishrant Wadi,Ready To Move,2,,2,2,1035,Super built-up  Area,35.77
Wagholi,Ready To Move,3,,4,0,1272,Plot  Area,75
Wakadewadi,Ready To Move,2,,2,1,965,Built-up  Area,45
Wanowrie,Ready To Move,5,,5,2,1600,Plot  Area,140
Warje,Ready To Move,2,,2,1,1070,Super built-up  Area,42.79
Yerawada,Ready To Move,3,Spensas,2,2,1570,Built-up  Area,65
Alandi Road,Ready To Move,2,PSterAs,2,2,117Sq. Yards,Built-up  Area,38
Ambegaon Budruk,Ready To Move,2,NianaKe,2,2,780,Super built-up  Area,25
Anandnagar,Ready To Move,3,,2,1,1000,Super built-up  Area,65
Aundh,Ready To Move,4,,3,2,1200,Plot  Area,188
Aundh Road,Ready To Move,7,,7,2,7500,Built-up  Area,400
Balaji Nagar,Ready To Move,3,,2,3,1700,Built-up  Area,100
Baner,Ready To Move,3,RBersll,3,,1850,Super built-up  Area,110
Baner road,Ready To Move,2,DSdorSp,2,1,904,Built-up  Area,30
Bhanda ar Road,Ready To Move,2,ALtonea,2,1,1121,Super built-up  Area,43.72
Bhavani Peth,Ready To Move,3,Vasta C,2,2,1385,Super built-up  Area,58.17
Bibvewadi,Ready To Move,2,Rauil T,2,1,1270,Super built-up  Area,69.85
Bopodi,Ready To Move,3,JRrnauv,3,3,1450,Super built-up  Area,56
Budhwar Peth,Ready To Move,3,,4,2,2400,Plot  Area,325
Bund Garden Road,Ready To Move,1,,1,1,730,Super built-up  Area,35
Camp,Ready To Move,3,GrrvaGr,3,3,1580,Super built-up  Area,53.56
Chandan Nagar,Ready To Move,2,Teire G,2,1,1111,Super built-up  Area,50
Dapodi,Ready To Move,4,,2,1,1125,Plot  Area,88
Deccan Gymkhana,Ready To Move,2,Maine J,2,2,977,Super built-up  Area,36
Dehu Road,18-Dec,2,,1,1,674,Super built-up  Area,19.9
Dhankawadi,18-Apr,3,,3,1,600,Plot  Area,83
Dhayari Phata,Ready To Move,4,Puodsm ,4,1,2540,Plot  Area,115
Dhole Patil Road,17-Dec,2,BrdgeNo,2,1,1290,Super built-up  Area,100
Erandwane,Ready To Move,3,,3,1,600,Plot  Area,98
Fatima Nagar,Ready To Move,2,SLtias ,2,1,795,Super built-up  Area,32.54
Fergusson College Road,20-Dec,2,PrarePa,1,1,700,Super built-up  Area,35
Ganesh Peth,Ready To Move,2,RMcesa ,1,1,1463,Built-up  Area,142
Ganeshkhind,Ready To Move,3,,3,0,1000,Built-up  Area,140
Ghorpade Peth,Ready To Move,3,,2,2,1306,Super built-up  Area,58
Ghorpadi,Ready To Move,3,,3,2,2401,Super built-up  Area,185
Gokhale Nagar,Ready To Move,4,Prana S,3,0,1670,Plot  Area,135
Gultekdi,Ready To Move,3,Rathira,2,3,1875,Built-up  Area,235
Guruwar peth,Ready To Move,3,AreraRe,3,1,1200,Plot  Area,90
Hadapsar,Ready To Move,3,,3,2,1804,Super built-up  Area,121
Hadapsar Industrial Estate,Ready To Move,3,Prhtsok,4,1,2065,Super built-up  Area,210
Hingne Khurd,Ready To Move,3,Deiveer,3,1,1225,Super built-up  Area,40
Jangali Maharaj Road,18-Nov,2,Bhe 2ko,2,0,934 - 1437,Super built-up  Area,58.68
Kalyani Nagar,Ready To Move,2,Trows M,2,2,900,Super built-up  Area,56
Karve Nagar,19-Dec,2,She 2 ,2,1,1350,Super built-up  Area,91
Karve Road,Ready To Move,1,Baowsig,1,0,700,Super built-up  Area,36
Kasba Peth,18-Jun,2,Gopia O,2,0,980 - 1030,Super built-up  Area,35.175
Katraj,Ready To Move,2,,2,1,1160,Super built-up  Area,46.39
Khadaki,Ready To Move,3,ChionCo,3,,1680,Super built-up  Area,99.27
Khadki,Ready To Move,2,Cha R ,2,2,1043,Carpet  Area,55
Kharadi,Ready To Move,4,,4,1,1200,Plot  Area,120
Kondhwa,Ready To Move,2,Diaveic,2,2,1040,Super built-up  Area,46
Kondhwa Budruk,Ready To Move,3,Shmolti,2,2,1357,Super built-up  Area,65
Kondhwa Khurd,Ready To Move,7,,7,1,1600,Plot  Area,104
Koregaon Pa ,18-Aug,2,,2,2,1225,Super built-up  Area,47
